,Code,Title,In2019,In2018
30,A31250,其他金融資產（增加）減少 Decrease (increase) in other financial assets,3383500,"(4,601,295)"
31,A31990,其他營業資產（增加）減少 Decrease (increase) in other operating assets,0,152555
32,A31000,與營業活動相關之資產之淨變動合計 Total changes in operating assets,6021932,"(46,417,183)"
33,,與營業活動相關之負債之淨變動 Changes in operating liabilities,,
34,A32150,應付帳款增加（減少） Increase (decrease) in accounts payable,5860068,4540583
35,A32160,應付帳款－關係人增加（減少） Increase (decrease) in accounts payable to related parties,58401,"(279,857)"
36,A32200,負債準備增加（減少） Increase (decrease) in provisions,0,0
37,A32230,其他流動負債增加（減少） Increase (decrease) in other current liabilities,"(571,051)","(20,009,883)"
38,A32240,淨確定福利負債增加(減少) Increase (decrease) in net defined benefit liability,"(215,014)","(60,461)"
39,A32990,其他營業負債增加（減少） Increase (decrease) in other operating liabilities,"(332,251)",562019
40,A32000,與營業活動相關之負債之淨變動合計 Total changes in operating liabilities,4800153,"(15,247,599)"
41,A30000,與營業活動相關之資產及負債之淨變動合計 Total changes in operating assets and liabilities,10822085,"(61,664,782)"
42,A20000,調整項目合計 Total adjustments,277337479,221826568
43,A33000,營運產生之現金流入（流出）　Cash inflow (outflow) generated from operations,667182815,619336831
44,A33500,退還（支付）之所得稅　Income taxes refund (paid),"(52,044,071)","(45,382,523)"
45,AAAA,營業活動之淨現金流入（流出）Net cash flows from (used in) operating activities,615138744,573954308
46,,投資活動之現金流量Cash flows from (used in) investing activities,,
47,B00010,取得透過其他綜合損益按公允價值衡量之金融資產　Acquisition of financial assets at fair value through other comprehensive income,"(257,558,240)","(96,412,786)"
48,B00020,處分透過其他綜合損益按公允價值衡量之金融資產　Proceeds from disposal of financial assets at fair value through other comprehensive income,230444486,86639322
49,B00030,透過其他綜合損益按公允價值衡量之金融資產減資退回股款　Proceeds from capital reduction of financial assets at fair value through other comprehensive income,1107,127878
50,B00040,取得按攤銷後成本衡量之金融資產　Acquisition of financial assets at amortised cost,"(313,958)","(2,294,098)"
51,B00060,按攤銷後成本衡量之金融資產到期還本　Proceeds from repayments of financial assets at amortised cost,14349190,2032442
52,B01700,除列避險之金融負債　Derecognition of financial liabilities for hedging,"(436,606)",250538
53,B02700,"取得不動產、廠房及設備　Acquisition of property, plant and equipment","(460,422,150)","(315,581,881)"
54,B02800,"處分不動產、廠房及設備　Proceeds from disposal of property, plant and equipment",287318,181450
55,B03700,存出保證金增加　Increase in refundable deposits,"(1,465,766)","(2,227,541)"
56,B03800,存出保證金減少　Decrease in refundable deposits,1019294,1857188
57,B04500,取得無形資產　Acquisition of intangible assets,"(9,329,869)","(7,100,306)"
58,B04600,處分無形資產　Proceeds from disposal of intangible assets,0,492
59,B07500,收取之利息　Interest received,16874985,14660388
60,B07600,收取之股利　Dividends received,2039196,3421268
61,B09900,其他投資活動　Other investing activities,5709366,176738
62,BBBB,投資活動之淨現金流入（流出）　Net cash flows from (used in) investing activities,"(458,801,647)","(314,268,908)"
63,,籌資活動之現金流量Cash flows from (used in) financing activities,,
64,C00100,短期借款增加　Increase in short-term loans,31804302,23922975
65,C01300,償還公司債　Repayments of bonds,"(34,900,000)","(58,024,900)"
66,C03000,存入保證金增加　Increase in guarantee deposits received,62203,1668887
67,C03100,存入保證金減少　Decrease in guarantee deposits received,"(701,269)","(1,948,106)"
68,C04020,租賃本金償還　Payments of lease liabilities,"(2,930,589)",0
69,C04500,發放現金股利　Cash dividends paid,"(259,303,805)","(207,443,044)"
70,C05600,支付之利息　Interest paid,"(3,597,145)","(3,233,331)"
71,C05800,非控制權益變動　Change in non-controlling interests,"(75,869)","(77,413)"
72,C09900,其他籌資活動　Other financing activities,4006,10141
73,CCCC,籌資活動之淨現金流入（流出）　Net cash flows from (used in) financing activities,"(269,638,166)","(245,124,791)"
74,DDDD,匯率變動對現金及約當現金之影響Effect of exchange rate changes on cash and cash equivalents,"(9,114,196)",9862296
75,EEEE,本期現金及約當現金增加（減少）數Net increase (decrease) in cash and cash equivalents,"(122,415,265)",24422905
76,E00100,期初現金及約當現金餘額Cash and cash equivalents at beginning of period,577814601,553391696
77,E00200,期末現金及約當現金餘額Cash and cash equivalents at end of period,455399336,577814601
78,E00210,資產負債表帳列之現金及約當現金　Cash and cash equivalents reported in the statement of financial position,455399336,577814601
